database	archived_release_or_snapshot	local_filename	size_bytes	file_mtime	sha256	official_source_url	status
CARD	v4.0.1 (released 2025-05-29; file downloaded 2025-05-29, local copy accessed 2026-08-02)	card_protein_homolog_model.fasta	2329640	2025-05-29 15:51:49 -0400	e0cdedd17911717b434e17ceb390cdcf2e0d7d67106f7dd3c27a5fb2a74725bf	https://card.mcmaster.ca/download (Protein homolog model FASTA, 6,052 sequences)	EXACT_FILE_SNAPSHOT_IDENTIFIED
VFDB SetB	2026-07-31 (accessed 2026-08-02)	VFDB_setB_pro.fas	19394331	2026-08-02 10:10:13.756426 -0400	6284d11e413d498fcd31b904f07b894ea408a79cfcc434c0980e9d1fc327ddbe	http://www.mgc.ac.cn/VFs/download.htm (VFDB SetB protein FASTA)	EXACT_FILE_SNAPSHOT_IDENTIFIED
BacMet2 experimentally confirmed	BacMet v2.0, experimentally confirmed set (accessed 2026-08-02)	BacMet2_EXP.fasta	390211	2026-08-02 10:10:33.369909474 -0400	e62756aafc1c653cdd1408fdbf558fd396ce1ef7ad99f2af50b0a6b67d00dd45	http://bacmet.biomedicine.gu.se/ (BacMet2 EXP protein FASTA)	EXACT_FILE_SNAPSHOT_IDENTIFIED
TADB2	TADB 2.0, 2017-10-13 release (accessed 2026-08-02)	TADB2_protein.fasta	3075035	2026-08-02 15:48:52.837934 -0400	ebea2f39e11647428dde7528f78fb4452aff0e9d85dad0e5c98416165231d688	https://bioinfo-mml.sjtu.edu.cn/TADB2/ (TADB2 protein FASTA)	EXACT_FILE_SNAPSHOT_IDENTIFIED
AMRFinderPlus database	2026-01-21.1 (downloaded 2026-03-05 via `amrfinder -u`)	amrfinderplus/data/latest -> 2026-01-21.1	NA	latest symlink inspected 2026-08-09	NA	https://ftp.ncbi.nlm.nih.gov/pathogen/Antimicrobial_resistance/AMRFinderPlus/ (NCBI Reference Gene Catalog)	SERVER_VERIFIED_SYMLINK
