<>,2,3,4,5,6,7,8,9,10,11
B,noUse,noUse,noUse,empty,noUse,noUse,noUse,empty,noUse,LBRef
C,noUse,noUse,Kan-pUC_0,empty,noUse,noKan-CloDF13_0,noUse,empty,noUse,LBRef
D,Kan-pBR322_0,Kan-CloDF13_0,noUse,empty,noKan-pBR322_0,noUse,noKan-pUC_0,empty,noKan-Chromosome_0,LBRef
