<>,2,3,4,5,6,7,8,9,10,11
B,Kan-pBR322_1,Kan-CloDF13_1,Kan-pUC_1,empty,noKan-pBR322_1,noKan-CloDF13_1,noKan-pUC_1,empty,noKan-Chromosome_1,LBRef
C,Kan-pBR322_2,Kan-CloDF13_2,Kan-pUC_2,empty,noKan-pBR322_2,noKan-CloDF13_2,noKan-pUC_2,empty,noKan-Chromosome_2,LBRef
D,Kan-pBR322_3,Kan-CloDF13_3,Kan-pUC_3,empty,noKan-pBR322_3,noKan-CloDF13_3,noKan-pUC_3,empty,noKan-Chromosome_3,LBRef
E,Kan-pBR322_4,Kan-CloDF13_4,Kan-pUC_4,empty,noKan-pBR322_4,noKan-CloDF13_4,noKan-pUC_4,empty,noKan-Chromosome_4,LBRef
F,Kan-pBR322_5,Kan-CloDF13_5,Kan-pUC_5,empty,noKan-pBR322_5,noKan-CloDF13_5,noKan-pUC_5,empty,noKan-Chromosome_5,LBRef
