<>,2,3,4,5,6,7,8,9,10,11
B,empty,Kan-p15A_1,Kan-pBR322_1,Kan-CloDF13_1,Kan-pUC_1,empty,noKan-p15A_1,noKan-pBR322_1,noKan-CloDF13_1,noKan-pUC_1
C,empty,Kan-p15A_2,Kan-pBR322_2,Kan-CloDF13_2,Kan-pUC_2,empty,noKan-p15A_2,noKan-pBR322_2,noKan-CloDF13_2,noKan-pUC_2
D,empty,Kan-p15A_3,Kan-pBR322_3,Kan-CloDF13_3,Kan-pUC_3,empty,noKan-p15A_3,noKan-pBR322_3,noKan-CloDF13_3,noKan-pUC_3
E,empty,Kan-p15A_4,Kan-pBR322_4,Kan-CloDF13_4,Kan-pUC_4,empty,noKan-p15A_4,noKan-pBR322_4,noKan-CloDF13_4,noKan-pUC_4
F,empty,Kan-p15A_5,Kan-pBR322_5,Kan-CloDF13_5,Kan-pUC_5,empty,noKan-p15A_5,noKan-pBR322_5,noKan-CloDF13_5,noKan-pUC_5
G,LBRef,LBRef,LBRef,LBRef,LBRef,empty,empty,empty,empty,noKan-Chromosome
