<>,2,3,4,5,6,7,8,9,10,11
B,noUse,noUse,noUse,noUse,noUse,noUse,noUse,noUse,noUse,noUse
C,noUse,noUse,noUse,noUse,Kan-pUC_0,noUse,noUse,noUse,noKan-CloDF13_0,noKan-pUC_0
D,noUse,Kan-p15A_0,Kan-pBR322_0,Kan-CloDF13_0,noUse,noUse,noKan-p15A_0,noKan-pBR322_0,noUse,noUse
E,LBRef,LBRef,LBRef,LBRef,LBRef,empty,empty,noKan-Chromosome,empty,empty
