OD,GFP,Well,Replicate,Kan,Plasmid,Day,PCN,GFP/OD,log10(GFP/OD),tet,Selection
0.9749000072479248,8311,D4,1,1,pBR322,0,60.0,7475.4371581033265,3.873636594963101,10,True
0.9749000072479248,8311,D4,2,1,pBR322,0,60.0,7475.4371581033265,3.873636594963101,10,True
0.9749000072479248,8311,D4,3,1,pBR322,0,60.0,7475.4371581033265,3.873636594963101,10,True
0.9749000072479248,8311,D4,4,1,pBR322,0,60.0,7475.4371581033265,3.873636594963101,10,True
0.9749000072479248,8311,D4,5,1,pBR322,0,60.0,7475.4371581033265,3.873636594963101,10,True
0.7301999926567078,17170,D5,1,1,CloDF13,0,100.0,22973.72570438929,4.3612314314879566,10,True
0.7301999926567078,17170,D5,2,1,CloDF13,0,100.0,22973.72570438929,4.3612314314879566,10,True
0.7301999926567078,17170,D5,3,1,CloDF13,0,100.0,22973.72570438929,4.3612314314879566,10,True
0.7301999926567078,17170,D5,4,1,CloDF13,0,100.0,22973.72570438929,4.3612314314879566,10,True
0.7301999926567078,17170,D5,5,1,CloDF13,0,100.0,22973.72570438929,4.3612314314879566,10,True
0.7458000183105469,28952,C6,1,1,pUC,0,200.0,39171.912153587415,4.592974771892073,10,True
0.7458000183105469,28952,C6,2,1,pUC,0,200.0,39171.912153587415,4.592974771892073,10,True
0.7458000183105469,28952,C6,3,1,pUC,0,200.0,39171.912153587415,4.592974771892073,10,True
0.7458000183105469,28952,C6,4,1,pUC,0,200.0,39171.912153587415,4.592974771892073,10,True
0.7458000183105469,28952,C6,5,1,pUC,0,200.0,39171.912153587415,4.592974771892073,10,True
0.8691999912261963,7272,D9,1,0,pBR322,0,60.0,7175.130419839791,3.8558297994968984,10,True
0.8691999912261963,7272,D9,2,0,pBR322,0,60.0,7175.130419839791,3.8558297994968984,10,True
0.8691999912261963,7272,D9,3,0,pBR322,0,60.0,7175.130419839791,3.8558297994968984,10,True
0.8691999912261963,7272,D9,4,0,pBR322,0,60.0,7175.130419839791,3.8558297994968984,10,True
0.8691999912261963,7272,D9,5,0,pBR322,0,60.0,7175.130419839791,3.8558297994968984,10,True
0.9311000108718872,26415,C10,1,0,CloDF13,0,100.0,28172.344561373397,4.449822991383933,10,True
0.9311000108718872,26415,C10,2,0,CloDF13,0,100.0,28172.344561373397,4.449822991383933,10,True
0.9311000108718872,26415,C10,3,0,CloDF13,0,100.0,28172.344561373397,4.449822991383933,10,True
0.9311000108718872,26415,C10,4,0,CloDF13,0,100.0,28172.344561373397,4.449822991383933,10,True
0.9311000108718872,26415,C10,5,0,CloDF13,0,100.0,28172.344561373397,4.449822991383933,10,True
0.692300021648407,46047,C11,1,0,pUC,0,200.0,68617.23784395299,4.8364332317429835,10,True
0.692300021648407,46047,C11,2,0,pUC,0,200.0,68617.23784395299,4.8364332317429835,10,True
0.692300021648407,46047,C11,3,0,pUC,0,200.0,68617.23784395299,4.8364332317429835,10,True
0.692300021648407,46047,C11,4,0,pUC,0,200.0,68617.23784395299,4.8364332317429835,10,True
0.692300021648407,46047,C11,5,0,pUC,0,200.0,68617.23784395299,4.8364332317429835,10,True
1.0151000022888184,8443,B4,1,1,pBR322,1,60.0,6496.660329541984,3.8126901607684633,10,False
0.9312999844551086,7876,C4,2,1,pBR322,1,60.0,6471.185636503572,3.8109838584457214,10,False
0.993399977684021,8414,D4,3,1,pBR322,1,60.0,6614.722969651206,3.8205116602739104,10,False
0.9904999732971191,8700,E4,4,1,pBR322,1,60.0,6937.476400694634,3.841201518787954,10,False
1.0227999687194824,8964,F4,5,1,pBR322,1,60.0,6978.29977550586,3.843749622041238,10,False
0.9686999917030334,16173,B5,1,1,CloDF13,1,100.0,15190.958827461012,4.1815851866563,10,False
0.9929999709129333,16925,C5,2,1,CloDF13,1,100.0,15594.794057374422,4.19297964390006,10,False
0.7760999798774719,11959,D5,3,1,CloDF13,1,100.0,13429.071982322717,4.128046001731868,10,False
0.9402999877929688,15168,E5,4,1,CloDF13,1,100.0,14550.348662008024,4.162873400206593,10,False
0.887499988079071,14582,F5,5,1,CloDF13,1,100.0,14766.6637111152,4.169282384579266,10,False
0.9501000046730042,8302,B6,1,1,pUC,1,200.0,6807.415228661858,3.8329822418660444,10,False
0.9865000247955322,9536,C6,2,1,pUC,1,200.0,7854.836447438841,3.895137146637062,10,False
0.9079999923706055,8155,D6,3,1,pUC,1,200.0,6969.156319794133,3.8431802059551994,10,False
0.9289000034332275,8458,E6,4,1,pUC,1,200.0,7147.155952371317,3.8541332585969506,10,False
0.9373000264167786,8844,F6,5,1,pUC,1,200.0,7512.438703832027,3.8757809414905147,10,False
1.0673999786376953,8866,B9,1,0,pBR322,1,60.0,6578.056980911542,3.8180976311393806,10,False
1.0326000452041626,8636,C9,2,0,pBR322,1,60.0,6576.959381643873,3.81802515972722,10,False
1.0533000230789185,8863,D9,3,0,pBR322,1,60.0,6667.063197979085,3.823934571880251,10,False
0.8881000280380249,7242,E9,4,0,pBR322,1,60.0,6050.808660886639,3.781813419857738,10,False
1.01010000705719,8447,F9,5,0,pBR322,1,60.0,6534.460559973718,3.815209741037211,10,False
1.056399941444397,22803,B10,1,0,CloDF13,1,100.0,20428.688427396322,4.310240484741643,10,False
0.9516000151634216,21799,C10,2,0,CloDF13,1,100.0,21682.659069343743,4.336112541165659,10,False
0.9429000020027161,20515,D10,3,0,CloDF13,1,100.0,20462.826806962246,4.310965628489734,10,False
1.0198999643325806,22687,E10,4,0,CloDF13,1,100.0,21074.50639231464,4.323757411358253,10,False
1.0161999464035034,21614,F10,5,0,CloDF13,1,100.0,20050.039201821954,4.302115226089284,10,False
0.8693000078201294,29209,B11,1,0,pUC,1,200.0,32836.139240280274,4.516352088605471,10,False
0.8046000003814697,28000,C11,2,0,pUC,1,200.0,34041.281610125094,4.532005902344618,10,False
0.8436999917030334,30989,D11,3,0,pUC,1,200.0,36116.981697445604,4.5577114490911965,10,False
0.888700008392334,29203,E11,4,0,pUC,1,200.0,32074.04917476922,4.506153790712698,10,False
0.8938000202178955,29488,F11,5,0,pUC,1,200.0,32217.090391255995,4.508086315596514,10,False
0.913100004196167,7488,B4,1,1,pBR322,2,60.0,6532.775359939075,3.815097724527447,10,False
0.8205000162124634,6596,C4,2,1,pBR322,2,60.0,6163.445825040513,3.789823583007686,10,False
0.9517999887466431,7673,D4,3,1,pBR322,2,60.0,6458.13163100062,3.810106892653057,10,False
0.8848000168800354,7178,E4,4,1,pBR322,2,60.0,6384.096076571754,3.8050994142466488,10,False
0.8906999826431274,7621,F4,5,1,pBR322,2,60.0,6862.388928350844,3.836475328213019,10,False
0.6848999857902527,8238,B5,1,1,CloDF13,2,100.0,10024.935550813623,4.001081589270676,10,False
0.9702000021934509,12685,C5,2,1,CloDF13,2,100.0,11736.860250566973,4.069551933519481,10,False
0.8633999824523926,10842,D5,3,1,CloDF13,2,100.0,11018.094270300817,4.042106483856536,10,False
0.8792999982833862,11561,E5,4,1,CloDF13,2,100.0,11668.540563618822,4.067016540295323,10,False
0.9053000211715698,11807,F5,5,1,CloDF13,2,100.0,11601.9763797604,4.0645319769607315,10,False
0.9864000082015991,4491,B6,1,1,pUC,2,200.0,2847.4489773973937,3.4544559508254866,10,False
1.0226000547409058,4707,C6,2,1,pUC,2,200.0,2962.7510197757197,3.4716951562789498,10,False
0.8823000192642212,4002,D6,3,1,pUC,2,200.0,2617.929528725951,3.4179579517268164,10,False
0.930400013923645,4149,E6,4,1,pUC,2,200.0,2641.688042777572,3.421881530424808,10,False
0.7800999879837036,3748,F6,5,1,pUC,2,200.0,2636.3217334224278,3.420998409914233,10,False
1.0233999490737915,7571,B9,1,0,pBR322,2,60.0,5882.305237280306,3.769547556625837,10,False
0.9668999910354614,7212,C9,2,0,pBR322,2,60.0,5853.452627886657,3.7674121079503564,10,False
0.9465000033378601,7003,D9,3,0,pBR322,2,60.0,5754.26785484007,3.75999007395533,10,False
1.0836999416351318,7936,E9,4,0,pBR322,2,60.0,5892.201858514301,3.7702776167410637,10,False
1.0025999546051025,7456,F9,5,0,pBR322,2,60.0,5889.968592797322,3.7701129789957295,10,False
1.0694999694824219,16172,B10,1,0,CloDF13,2,100.0,13998.987032058843,4.146096611227998,10,False
0.8883000016212463,14582,C10,2,0,CloDF13,2,100.0,15119.163112841883,4.179527752439415,10,False
0.902899980545044,14135,D10,3,0,CloDF13,2,100.0,14342.414772633601,4.156622277840872,10,False
0.9902999997138977,15274,E10,4,0,CloDF13,2,100.0,14221.485448063226,4.152944961246352,10,False
0.7860000133514404,11451,F10,5,0,CloDF13,2,100.0,12986.159500525187,4.11348073272529,10,False
0.9955000281333923,6601,B11,1,0,pUC,2,200.0,5036.019427329267,3.7020873968062826,10,False
0.9595000147819519,5532,C11,2,0,pUC,2,200.0,4067.186105614077,3.6092940452327253,10,False
0.9061999917030334,6505,D11,3,0,pUC,2,200.0,5445.90716471152,3.736070233736014,10,False
1.0390000343322754,5814,E11,4,0,pUC,2,200.0,4025.6686983085965,3.604838030757099,10,False
0.8191999793052673,5292,F11,5,0,pUC,2,200.0,4493.272970731782,3.652562803209419,10,False
0.732200026512146,5683,B4,1,1,pBR322,3,60.0,5649.789428562367,3.7520322616747324,10,False
0.7554000020027161,5831,C4,2,1,pBR322,3,60.0,5673.543847783524,3.7538544156413467,10,False
0.8995000123977661,7347,D4,3,1,pBR322,3,60.0,6488.909552741339,3.812171720680699,10,False
1.027999997138977,8348,E4,4,1,pBR322,3,60.0,6658.613361550756,3.8233837979200307,10,False
0.9760000109672546,7961,F4,5,1,pBR322,3,60.0,6614.939375032785,3.820525868295345,10,False
0.8712999820709229,10413,B5,1,1,CloDF13,3,100.0,10410.912834373119,4.017488810351136,10,False
0.6863999962806702,7204,C5,2,1,CloDF13,3,100.0,8415.540070884186,3.9250819922403646,10,False
0.9229999780654907,10738,D5,3,1,CloDF13,3,100.0,10168.617461943037,4.007261909710864,10,False
0.9646000266075134,10668,E5,4,1,CloDF13,3,100.0,9633.720026699477,3.9837940207799196,10,False
0.9254999756813049,10196,F5,5,1,CloDF13,3,100.0,9525.71973321545,3.9788977995030357,10,False
0.9146999716758728,3615,B6,1,1,pUC,3,200.0,2094.975981202398,3.3211790481657713,10,False
0.7379000186920166,3171,C6,2,1,pUC,3,200.0,1989.0646961726102,3.298648909184675,10,False
0.8931000232696533,3693,D6,3,1,pUC,3,200.0,2239.9434827399277,3.3502370605467364,10,False
1.098099946975708,4268,E6,4,1,pUC,3,200.0,2349.6968591693203,3.3710118363644783,10,False
0.875,3456,F6,5,1,pUC,3,200.0,2003.8456928580354,3.301864275418532,10,False
0.9082000255584717,6175,B9,1,0,pBR322,3,60.0,5069.224399672778,3.704941516589857,10,False
0.9179999828338623,6406,C9,2,0,pBR322,3,60.0,5276.425657959712,3.722339823539673,10,False
